pid,birthyr,age,male1,educ,faminc,region,trump
1,1989,29,2,5,3,4,0
1,1996,22,2,3,8,1,0
5,1964,54,2,2,10,3,97
1,1956,62,2,1,1,3,52
3,1966,52,2,4,10,2,0
1,1963,55,2,4,6,1,12
5,1956,62,1,5,2,2,4
1,1957,61,2,5,12,3,2
3,1961,57,2,3,9,2,0
4,1991,27,2,4,1,4,2
7,1974,44,2,2,6,2,94
5,1969,49,2,3,4,4,100
1,1958,60,2,2,5,4,0
1,1996,22,2,5,4,2,0
4,1968,50,2,1,2,3,54
7,1955,63,1,2,10,3,100
1,1939,79,2,3,2,1,4
2,1966,52,2,5,11,4,11
1,1990,28,1,5,4,3,0
3,1961,57,2,5,11,2,1
1,1979,39,2,4,11,1,0
3,1958,60,2,3,3,2,19
1,1977,41,2,5,11,3,0
5,1961,57,1,5,8,1,99
1,1960,58,2,3,6,2,0
7,1971,47,2,5,8,1,0
7,1960,58,1,4,10,3,61
3,1954,64,2,2,2,3,0
7,1960,58,1,2,6,3,91
5,1955,63,2,4,6,3,99
1,1956,62,1,3,9,4,2
1,1980,38,2,4,NA,2,0
7,1947,71,1,5,14,2,100
4,1960,58,1,6,12,4,75
7,1954,64,1,3,8,1,93
5,1932,86,1,1,4,4,100
1,1991,27,2,5,6,2,4
2,1975,43,2,2,4,3,0
NA,1978,40,2,6,NA,2,0
2,1982,36,2,3,NA,1,0
1,1959,59,1,3,2,1,42
7,1965,53,1,5,11,4,95
6,1991,27,2,1,1,3,5
4,1989,29,2,2,NA,3,3
4,1995,23,2,2,3,2,10
7,1959,59,1,5,7,4,100
4,1989,29,2,6,NA,4,75
4,1988,30,2,3,4,3,40
1,1975,43,2,6,8,2,0
1,1968,50,1,3,NA,4,0
4,1954,64,1,4,6,3,1
2,1993,25,2,5,NA,4,10
NA,1981,37,2,3,4,1,50
1,1979,39,2,6,13,4,6
1,2000,18,2,3,5,3,0
7,1974,44,2,2,5,2,100
NA,1973,45,2,3,3,4,68
5,1971,47,1,5,13,2,100
1,1996,22,1,5,NA,3,0
7,1958,60,1,6,12,3,99
1,1959,59,2,5,6,4,3
1,1956,62,1,6,13,3,0
3,1976,42,2,4,6,4,0
2,1965,53,1,5,10,2,1
4,1976,42,1,6,12,2,30
7,1954,64,2,3,8,1,84
7,1959,59,2,5,NA,4,84
7,1994,24,2,2,NA,4,100
6,1983,35,1,6,12,3,75
6,1968,50,1,2,3,1,71
7,1973,45,2,5,5,4,100
1,1980,38,2,6,12,1,2
1,1958,60,2,4,10,3,3
1,1976,42,2,6,9,1,3
5,1955,63,1,5,11,3,100
1,1985,33,2,5,9,4,0
7,1989,29,2,3,6,1,99
2,1976,42,1,6,11,3,4
4,1962,56,1,2,NA,2,80
4,1955,63,1,6,11,4,100
1,1955,63,1,6,4,1,1
4,1954,64,1,1,3,1,10
4,1985,33,2,5,11,2,39
7,1990,28,2,6,6,1,90
2,1975,43,2,5,9,3,1
7,1969,49,2,5,4,4,70
7,1963,55,1,6,13,3,100
NA,2000,18,2,1,1,3,45
7,1989,29,1,3,8,4,100
2,1981,37,2,5,12,4,3
4,1994,24,2,2,2,2,40
1,1975,43,2,5,9,2,0
3,1971,47,2,6,9,4,48
3,1984,34,2,5,6,3,2
6,1974,44,2,6,13,3,88
1,1955,63,2,5,4,2,0
3,1963,55,2,5,4,3,47
4,1975,43,1,3,NA,2,50
1,1955,63,1,3,8,1,5
2,1957,61,1,3,3,4,9
4,1958,60,1,3,NA,4,3
4,1990,28,2,2,5,2,1
1,1947,71,2,2,5,2,NA
1,1963,55,1,4,8,2,6
1,1947,71,1,4,5,3,30
6,1958,60,1,4,2,4,100
7,1974,44,2,3,5,2,100
5,1964,54,1,4,NA,4,80
4,1987,31,2,4,5,3,50
1,1998,20,2,3,11,3,9
1,1932,86,1,6,9,1,3
2,1988,30,2,5,9,3,0
2,1995,23,2,4,4,2,0
2,1995,23,2,3,16,3,0
1,1994,24,2,4,2,3,1
4,1982,36,2,2,NA,1,52
4,2000,18,2,3,1,3,0
3,1979,39,1,5,7,3,1
7,1944,74,1,3,7,1,99
3,1953,65,2,3,5,1,2
2,1987,31,1,4,8,2,0
4,1975,43,1,5,10,3,0
4,1982,36,2,2,5,2,2
1,1960,58,1,5,1,1,1
6,1974,44,1,3,NA,4,90
6,1988,30,2,5,10,4,30
4,1996,22,1,5,3,2,3
7,1977,41,2,3,10,3,94
3,1987,31,2,6,5,3,1
1,1968,50,1,5,10,3,15
7,1969,49,2,3,6,4,61
7,1954,64,1,5,8,3,94
3,1981,37,2,4,1,2,3
3,1998,20,2,2,NA,3,1
5,1972,46,2,5,10,4,50
1,1980,38,2,5,1,1,2
4,1971,47,2,4,3,3,56
6,1998,20,2,1,2,3,71
4,1966,52,2,4,7,2,52
7,1980,38,1,4,10,3,90
4,1997,21,2,2,NA,2,2
7,1962,56,1,3,7,2,99
5,1993,25,2,1,1,3,100
6,1980,38,2,5,10,2,68
1,1955,63,1,4,11,3,22
4,1985,33,1,2,3,3,38
3,1980,38,1,5,8,3,0
7,1998,20,2,4,4,1,0
1,1990,28,2,6,4,1,0
NA,1967,51,2,2,1,2,75
5,1984,34,2,1,1,3,30
1,1950,68,2,5,3,4,0
1,1960,58,2,6,5,3,2
1,1965,53,2,5,11,4,1
2,1992,26,2,6,9,3,32
7,1983,35,2,6,5,3,100
3,1987,31,2,5,5,2,0
3,1939,79,1,4,10,2,0
4,1959,59,2,1,2,1,66
5,1952,66,1,1,4,4,95
4,1958,60,1,5,NA,4,91
4,1960,58,2,6,6,1,78
1,1950,68,2,6,13,2,1
6,1961,57,1,2,10,4,99
1,1971,47,1,6,10,3,4
4,1990,28,2,5,7,1,10
6,1985,33,2,5,8,2,28
6,1979,39,2,5,11,4,3
4,1996,22,2,1,NA,1,2
5,1993,25,1,3,3,2,50
1,1998,20,1,3,NA,3,2
3,1989,29,2,6,6,4,1
7,1955,63,1,5,12,3,90
7,1957,61,1,4,9,3,64
6,1978,40,2,3,10,1,69
1,1993,25,2,5,4,4,1
3,1962,56,2,5,NA,3,7
5,1962,56,1,6,16,1,53
2,1933,85,2,3,9,3,79
7,1958,60,2,6,11,3,100
3,1970,48,2,5,7,4,0
5,1950,68,2,4,NA,4,69
4,1998,20,2,2,3,4,0
